load LCG environment
Done !
start of the process
/user/educarme/pnfs/ScoutingSkim/2022/DY/M-10to50/genInfo/DY_M-10to50.root 6452530.0
/user/educarme/pnfs/ScoutingSkim/2022/DY/M-50/genInfo/DY_M-50.root 18432088.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-15to20/genInfo/QCD_PT-15to20.root 89391.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-20to30/genInfo/QCD_PT-20to30.root 862700.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-30to50/genInfo/QCD_PT-30to50.root 1067312.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-50to80/genInfo/QCD_PT-50to80.root 511925.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-80to120/genInfo/QCD_PT-80to120.root 1572286.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-120to170/genInfo/QCD_PT-120to170.root 1672453.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-170to300/genInfo/QCD_PT-170to300.root 2483566.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-300to470/genInfo/QCD_PT-300to470.root 3339808.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-470to600/genInfo/QCD_PT-470to600.root 3164898.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-600to800/genInfo/QCD_PT-600to800.root 3572771.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-800to1000/genInfo/QCD_PT-800to1000.root 7258189.0
/user/educarme/pnfs/ScoutingSkim/2022/QCD/PT-1000/genInfo/QCD_PT-1000.root 2808478.0
